id_leggo,periodo,temperatura_periodo,temperatura_recente
9511c12aa1c6f2247268a1f9f25c4359,2019-02-25T00:00:00Z,7,7
9511c12aa1c6f2247268a1f9f25c4359,2019-03-04T00:00:00Z,7.07,12.32
9511c12aa1c6f2247268a1f9f25c4359,2019-03-11T00:00:00Z,3,12.24
9511c12aa1c6f2247268a1f9f25c4359,2019-03-18T00:00:00Z,0,9.18
9511c12aa1c6f2247268a1f9f25c4359,2019-03-25T00:00:00Z,0,6.88
9511c12aa1c6f2247268a1f9f25c4359,2019-04-01T00:00:00Z,0,5.16
9511c12aa1c6f2247268a1f9f25c4359,2019-04-08T00:00:00Z,0,3.87
9511c12aa1c6f2247268a1f9f25c4359,2019-04-15T00:00:00Z,0,2.9
9511c12aa1c6f2247268a1f9f25c4359,2019-04-22T00:00:00Z,0,2.18
9511c12aa1c6f2247268a1f9f25c4359,2019-04-29T00:00:00Z,0,1.63
9511c12aa1c6f2247268a1f9f25c4359,2019-05-06T00:00:00Z,0,1.23
9511c12aa1c6f2247268a1f9f25c4359,2019-05-13T00:00:00Z,0,0.92
9511c12aa1c6f2247268a1f9f25c4359,2019-05-20T00:00:00Z,0,0.69
9511c12aa1c6f2247268a1f9f25c4359,2019-05-27T00:00:00Z,0,0.52
9511c12aa1c6f2247268a1f9f25c4359,2019-06-03T00:00:00Z,0,0.39
9511c12aa1c6f2247268a1f9f25c4359,2019-06-10T00:00:00Z,0,0.29
9511c12aa1c6f2247268a1f9f25c4359,2019-06-17T00:00:00Z,0,0.22
9511c12aa1c6f2247268a1f9f25c4359,2019-06-24T00:00:00Z,0,0.16
9511c12aa1c6f2247268a1f9f25c4359,2019-07-01T00:00:00Z,0,0.12
9511c12aa1c6f2247268a1f9f25c4359,2019-07-08T00:00:00Z,0,0.09
9511c12aa1c6f2247268a1f9f25c4359,2019-07-15T00:00:00Z,0,0.07
9511c12aa1c6f2247268a1f9f25c4359,2019-07-22T00:00:00Z,0,0.07
9511c12aa1c6f2247268a1f9f25c4359,2019-07-29T00:00:00Z,0,0.07
9511c12aa1c6f2247268a1f9f25c4359,2019-08-05T00:00:00Z,0,0.05
9511c12aa1c6f2247268a1f9f25c4359,2019-08-12T00:00:00Z,0,0.04
9511c12aa1c6f2247268a1f9f25c4359,2019-08-19T00:00:00Z,0,0.03
9511c12aa1c6f2247268a1f9f25c4359,2019-08-26T00:00:00Z,0,0.02
9511c12aa1c6f2247268a1f9f25c4359,2019-09-02T00:00:00Z,0,0.02
9511c12aa1c6f2247268a1f9f25c4359,2019-09-09T00:00:00Z,0,0.01
9511c12aa1c6f2247268a1f9f25c4359,2019-09-16T00:00:00Z,0,0.01
9511c12aa1c6f2247268a1f9f25c4359,2019-09-23T00:00:00Z,0,0.01
9511c12aa1c6f2247268a1f9f25c4359,2019-09-30T00:00:00Z,0,0.01
9511c12aa1c6f2247268a1f9f25c4359,2019-10-07T00:00:00Z,0,0
9511c12aa1c6f2247268a1f9f25c4359,2019-10-14T00:00:00Z,0,0
9511c12aa1c6f2247268a1f9f25c4359,2019-10-21T00:00:00Z,0,0
9511c12aa1c6f2247268a1f9f25c4359,2019-10-28T00:00:00Z,0,0
9511c12aa1c6f2247268a1f9f25c4359,2019-11-04T00:00:00Z,0,0
9511c12aa1c6f2247268a1f9f25c4359,2019-11-11T00:00:00Z,0,0
9511c12aa1c6f2247268a1f9f25c4359,2019-11-18T00:00:00Z,0,0
9511c12aa1c6f2247268a1f9f25c4359,2019-11-25T00:00:00Z,0,0
9511c12aa1c6f2247268a1f9f25c4359,2019-12-02T00:00:00Z,0,0
9511c12aa1c6f2247268a1f9f25c4359,2019-12-09T00:00:00Z,0,0
9511c12aa1c6f2247268a1f9f25c4359,2019-12-16T00:00:00Z,1.6800000000000002,1.68
9511c12aa1c6f2247268a1f9f25c4359,2019-12-23T00:00:00Z,0,1.68
9511c12aa1c6f2247268a1f9f25c4359,2019-12-30T00:00:00Z,0,1.68
9511c12aa1c6f2247268a1f9f25c4359,2020-01-06T00:00:00Z,0,1.68
9511c12aa1c6f2247268a1f9f25c4359,2020-01-13T00:00:00Z,0,1.68
9511c12aa1c6f2247268a1f9f25c4359,2020-01-20T00:00:00Z,0,1.68
9511c12aa1c6f2247268a1f9f25c4359,2020-01-27T00:00:00Z,0,1.68
9511c12aa1c6f2247268a1f9f25c4359,2020-02-03T00:00:00Z,0,1.26
9511c12aa1c6f2247268a1f9f25c4359,2020-02-10T00:00:00Z,0,0.95
9511c12aa1c6f2247268a1f9f25c4359,2020-02-17T00:00:00Z,0,0.71
9511c12aa1c6f2247268a1f9f25c4359,2020-02-24T00:00:00Z,0,0.53
9511c12aa1c6f2247268a1f9f25c4359,2020-03-02T00:00:00Z,0,0.4
9511c12aa1c6f2247268a1f9f25c4359,2020-03-09T00:00:00Z,0,0.3
9511c12aa1c6f2247268a1f9f25c4359,2020-03-16T00:00:00Z,0,0.22
9511c12aa1c6f2247268a1f9f25c4359,2020-03-23T00:00:00Z,0,0.17
9511c12aa1c6f2247268a1f9f25c4359,2020-03-30T00:00:00Z,0,0.13
9511c12aa1c6f2247268a1f9f25c4359,2020-04-06T00:00:00Z,0,0.09
9511c12aa1c6f2247268a1f9f25c4359,2020-04-13T00:00:00Z,0,0.07
9511c12aa1c6f2247268a1f9f25c4359,2020-04-20T00:00:00Z,0,0.05
9511c12aa1c6f2247268a1f9f25c4359,2020-04-27T00:00:00Z,0,0.04
9511c12aa1c6f2247268a1f9f25c4359,2020-05-04T00:00:00Z,0,0.03
9511c12aa1c6f2247268a1f9f25c4359,2020-05-11T00:00:00Z,0,0.02
9511c12aa1c6f2247268a1f9f25c4359,2020-05-18T00:00:00Z,0,0.02
9511c12aa1c6f2247268a1f9f25c4359,2020-05-25T00:00:00Z,0,0.01
9511c12aa1c6f2247268a1f9f25c4359,2020-06-01T00:00:00Z,0,0.01
9511c12aa1c6f2247268a1f9f25c4359,2020-06-08T00:00:00Z,0,0.01
9511c12aa1c6f2247268a1f9f25c4359,2020-06-15T00:00:00Z,0,0.01
9511c12aa1c6f2247268a1f9f25c4359,2020-06-22T00:00:00Z,0,0
9511c12aa1c6f2247268a1f9f25c4359,2020-06-29T00:00:00Z,0,0
9511c12aa1c6f2247268a1f9f25c4359,2020-07-06T00:00:00Z,0,0
9511c12aa1c6f2247268a1f9f25c4359,2020-07-13T00:00:00Z,0,0
9511c12aa1c6f2247268a1f9f25c4359,2020-07-20T00:00:00Z,0,0
9511c12aa1c6f2247268a1f9f25c4359,2020-07-27T00:00:00Z,0,0
9511c12aa1c6f2247268a1f9f25c4359,2020-08-03T00:00:00Z,0,0
9511c12aa1c6f2247268a1f9f25c4359,2020-08-10T00:00:00Z,0,0
9511c12aa1c6f2247268a1f9f25c4359,2020-08-17T00:00:00Z,0,0
9511c12aa1c6f2247268a1f9f25c4359,2020-08-24T00:00:00Z,0,0
9511c12aa1c6f2247268a1f9f25c4359,2020-08-31T00:00:00Z,0,0
9511c12aa1c6f2247268a1f9f25c4359,2020-09-07T00:00:00Z,0,0
9511c12aa1c6f2247268a1f9f25c4359,2020-09-14T00:00:00Z,0,0
9511c12aa1c6f2247268a1f9f25c4359,2020-09-21T00:00:00Z,0,0
9511c12aa1c6f2247268a1f9f25c4359,2020-09-28T00:00:00Z,0,0
9511c12aa1c6f2247268a1f9f25c4359,2020-10-05T00:00:00Z,0,0
9511c12aa1c6f2247268a1f9f25c4359,2020-10-12T00:00:00Z,0,0
9511c12aa1c6f2247268a1f9f25c4359,2020-10-19T00:00:00Z,0,0
9511c12aa1c6f2247268a1f9f25c4359,2020-10-26T00:00:00Z,0,0
9511c12aa1c6f2247268a1f9f25c4359,2020-11-02T00:00:00Z,0,0
9511c12aa1c6f2247268a1f9f25c4359,2020-11-09T00:00:00Z,0,0
9511c12aa1c6f2247268a1f9f25c4359,2020-11-16T00:00:00Z,0,0
9511c12aa1c6f2247268a1f9f25c4359,2020-11-23T00:00:00Z,0,0
9511c12aa1c6f2247268a1f9f25c4359,2020-11-30T00:00:00Z,0,0
9511c12aa1c6f2247268a1f9f25c4359,2020-12-07T00:00:00Z,0,0
9511c12aa1c6f2247268a1f9f25c4359,2020-12-14T00:00:00Z,0,0
6a38b246ad96596e6a94a33eba950454,2019-04-08T00:00:00Z,6,6
6a38b246ad96596e6a94a33eba950454,2019-04-15T00:00:00Z,20.32,24.82
6a38b246ad96596e6a94a33eba950454,2019-04-22T00:00:00Z,0,18.62
6a38b246ad96596e6a94a33eba950454,2019-04-29T00:00:00Z,0,13.96
6a38b246ad96596e6a94a33eba950454,2019-05-06T00:00:00Z,1,11.47
6a38b246ad96596e6a94a33eba950454,2019-05-13T00:00:00Z,0,8.6
6a38b246ad96596e6a94a33eba950454,2019-05-20T00:00:00Z,0,6.45
6a38b246ad96596e6a94a33eba950454,2019-05-27T00:00:00Z,0,4.84
6a38b246ad96596e6a94a33eba950454,2019-06-03T00:00:00Z,0,3.63
6a38b246ad96596e6a94a33eba950454,2019-06-10T00:00:00Z,1.6800000000000002,4.4
6a38b246ad96596e6a94a33eba950454,2019-06-17T00:00:00Z,0,3.3
6a38b246ad96596e6a94a33eba950454,2019-06-24T00:00:00Z,0,2.48
6a38b246ad96596e6a94a33eba950454,2019-07-01T00:00:00Z,0,1.86
6a38b246ad96596e6a94a33eba950454,2019-07-08T00:00:00Z,0,1.39
6a38b246ad96596e6a94a33eba950454,2019-07-15T00:00:00Z,0,1.04
6a38b246ad96596e6a94a33eba950454,2019-07-22T00:00:00Z,0,1.04
6a38b246ad96596e6a94a33eba950454,2019-07-29T00:00:00Z,0,1.04
6a38b246ad96596e6a94a33eba950454,2019-08-05T00:00:00Z,0,0.78
6a38b246ad96596e6a94a33eba950454,2019-08-12T00:00:00Z,0,0.59
6a38b246ad96596e6a94a33eba950454,2019-08-19T00:00:00Z,0,0.44
6a38b246ad96596e6a94a33eba950454,2019-08-26T00:00:00Z,0,0.33
6a38b246ad96596e6a94a33eba950454,2019-09-02T00:00:00Z,0,0.25
6a38b246ad96596e6a94a33eba950454,2019-09-09T00:00:00Z,0,0.19
6a38b246ad96596e6a94a33eba950454,2019-09-16T00:00:00Z,0,0.14
6a38b246ad96596e6a94a33eba950454,2019-09-23T00:00:00Z,0,0.1
6a38b246ad96596e6a94a33eba950454,2019-09-30T00:00:00Z,0,0.08
6a38b246ad96596e6a94a33eba950454,2019-10-07T00:00:00Z,0,0.06
6a38b246ad96596e6a94a33eba950454,2019-10-14T00:00:00Z,0,0.04
6a38b246ad96596e6a94a33eba950454,2019-10-21T00:00:00Z,0,0.03
6a38b246ad96596e6a94a33eba950454,2019-10-28T00:00:00Z,0,0.02
6a38b246ad96596e6a94a33eba950454,2019-11-04T00:00:00Z,0,0.02
6a38b246ad96596e6a94a33eba950454,2019-11-11T00:00:00Z,0,0.01
6a38b246ad96596e6a94a33eba950454,2019-11-18T00:00:00Z,2.68,2.69
6a38b246ad96596e6a94a33eba950454,2019-11-25T00:00:00Z,1.6800000000000002,3.7
6a38b246ad96596e6a94a33eba950454,2019-12-02T00:00:00Z,1,3.77
6a38b246ad96596e6a94a33eba950454,2019-12-09T00:00:00Z,1,3.83
6a38b246ad96596e6a94a33eba950454,2019-12-16T00:00:00Z,0,2.87
6a38b246ad96596e6a94a33eba950454,2019-12-23T00:00:00Z,0,2.87
6a38b246ad96596e6a94a33eba950454,2019-12-30T00:00:00Z,0,2.87
6a38b246ad96596e6a94a33eba950454,2020-01-06T00:00:00Z,0,2.87
6a38b246ad96596e6a94a33eba950454,2020-01-13T00:00:00Z,0,2.87
6a38b246ad96596e6a94a33eba950454,2020-01-20T00:00:00Z,0,2.87
6a38b246ad96596e6a94a33eba950454,2020-01-27T00:00:00Z,0,2.87
6a38b246ad96596e6a94a33eba950454,2020-02-03T00:00:00Z,0,2.15
6a38b246ad96596e6a94a33eba950454,2020-02-10T00:00:00Z,0,1.62
6a38b246ad96596e6a94a33eba950454,2020-02-17T00:00:00Z,0,1.21
6a38b246ad96596e6a94a33eba950454,2020-02-24T00:00:00Z,0,0.91
6a38b246ad96596e6a94a33eba950454,2020-03-02T00:00:00Z,0,0.68
6a38b246ad96596e6a94a33eba950454,2020-03-09T00:00:00Z,0,0.51
6a38b246ad96596e6a94a33eba950454,2020-03-16T00:00:00Z,0,0.38
6a38b246ad96596e6a94a33eba950454,2020-03-23T00:00:00Z,0,0.29
6a38b246ad96596e6a94a33eba950454,2020-03-30T00:00:00Z,0,0.22
6a38b246ad96596e6a94a33eba950454,2020-04-06T00:00:00Z,0,0.16
6a38b246ad96596e6a94a33eba950454,2020-04-13T00:00:00Z,0,0.12
6a38b246ad96596e6a94a33eba950454,2020-04-20T00:00:00Z,0,0.09
6a38b246ad96596e6a94a33eba950454,2020-04-27T00:00:00Z,0,0.07
6a38b246ad96596e6a94a33eba950454,2020-05-04T00:00:00Z,0,0.05
6a38b246ad96596e6a94a33eba950454,2020-05-11T00:00:00Z,0,0.04
6a38b246ad96596e6a94a33eba950454,2020-05-18T00:00:00Z,0,0.03
6a38b246ad96596e6a94a33eba950454,2020-05-25T00:00:00Z,0,0.02
6a38b246ad96596e6a94a33eba950454,2020-06-01T00:00:00Z,0,0.02
6a38b246ad96596e6a94a33eba950454,2020-06-08T00:00:00Z,0,0.01
6a38b246ad96596e6a94a33eba950454,2020-06-15T00:00:00Z,0,0.01
6a38b246ad96596e6a94a33eba950454,2020-06-22T00:00:00Z,0,0.01
6a38b246ad96596e6a94a33eba950454,2020-06-29T00:00:00Z,0,0.01
6a38b246ad96596e6a94a33eba950454,2020-07-06T00:00:00Z,0,0
6a38b246ad96596e6a94a33eba950454,2020-07-13T00:00:00Z,0,0
6a38b246ad96596e6a94a33eba950454,2020-07-20T00:00:00Z,0,0
6a38b246ad96596e6a94a33eba950454,2020-07-27T00:00:00Z,0,0
6a38b246ad96596e6a94a33eba950454,2020-08-03T00:00:00Z,0,0
6a38b246ad96596e6a94a33eba950454,2020-08-10T00:00:00Z,0,0
6a38b246ad96596e6a94a33eba950454,2020-08-17T00:00:00Z,0,0
6a38b246ad96596e6a94a33eba950454,2020-08-24T00:00:00Z,0,0
6a38b246ad96596e6a94a33eba950454,2020-08-31T00:00:00Z,0,0
6a38b246ad96596e6a94a33eba950454,2020-09-07T00:00:00Z,0,0
6a38b246ad96596e6a94a33eba950454,2020-09-14T00:00:00Z,0,0
6a38b246ad96596e6a94a33eba950454,2020-09-21T00:00:00Z,0,0
6a38b246ad96596e6a94a33eba950454,2020-09-28T00:00:00Z,0,0
6a38b246ad96596e6a94a33eba950454,2020-10-05T00:00:00Z,0,0
6a38b246ad96596e6a94a33eba950454,2020-10-12T00:00:00Z,0,0
6a38b246ad96596e6a94a33eba950454,2020-10-19T00:00:00Z,0,0
6a38b246ad96596e6a94a33eba950454,2020-10-26T00:00:00Z,0,0
6a38b246ad96596e6a94a33eba950454,2020-11-02T00:00:00Z,0,0
6a38b246ad96596e6a94a33eba950454,2020-11-09T00:00:00Z,0,0
6a38b246ad96596e6a94a33eba950454,2020-11-16T00:00:00Z,0,0
6a38b246ad96596e6a94a33eba950454,2020-11-23T00:00:00Z,0,0
6a38b246ad96596e6a94a33eba950454,2020-11-30T00:00:00Z,0,0
6a38b246ad96596e6a94a33eba950454,2020-12-07T00:00:00Z,0,0
6a38b246ad96596e6a94a33eba950454,2020-12-14T00:00:00Z,0,0
234f33c2f5d2cd76d8dec24b3572a36d,2019-04-15T00:00:00Z,16,16
234f33c2f5d2cd76d8dec24b3572a36d,2019-04-22T00:00:00Z,0,12
234f33c2f5d2cd76d8dec24b3572a36d,2019-04-29T00:00:00Z,0,9
234f33c2f5d2cd76d8dec24b3572a36d,2019-05-06T00:00:00Z,0,6.75
234f33c2f5d2cd76d8dec24b3572a36d,2019-05-13T00:00:00Z,0,5.06
234f33c2f5d2cd76d8dec24b3572a36d,2019-05-20T00:00:00Z,0,3.8
234f33c2f5d2cd76d8dec24b3572a36d,2019-05-27T00:00:00Z,0,2.85
234f33c2f5d2cd76d8dec24b3572a36d,2019-06-03T00:00:00Z,0,2.14
234f33c2f5d2cd76d8dec24b3572a36d,2019-06-10T00:00:00Z,0,1.6
234f33c2f5d2cd76d8dec24b3572a36d,2019-06-17T00:00:00Z,0,1.2
234f33c2f5d2cd76d8dec24b3572a36d,2019-06-24T00:00:00Z,0,0.9
234f33c2f5d2cd76d8dec24b3572a36d,2019-07-01T00:00:00Z,0,0.68
234f33c2f5d2cd76d8dec24b3572a36d,2019-07-08T00:00:00Z,0,0.51
234f33c2f5d2cd76d8dec24b3572a36d,2019-07-15T00:00:00Z,0,0.38
234f33c2f5d2cd76d8dec24b3572a36d,2019-07-22T00:00:00Z,0,0.38
234f33c2f5d2cd76d8dec24b3572a36d,2019-07-29T00:00:00Z,0,0.38
234f33c2f5d2cd76d8dec24b3572a36d,2019-08-05T00:00:00Z,0,0.29
