ano_materia,autoria_texto,casa,id_principal,id_documento,data_texto,descricao_identificacao_materia,descricao_objetivo_processo,descricao_subtipo_materia,descricao_texto,descricao_tipo_texto,formato_texto,identificacao_comissao_codigo_comissao,identificacao_comissao_nome_casa_comissao,identificacao_comissao_nome_comissao,identificacao_comissao_sigla_casa_comissao,identificacao_comissao_sigla_comissao,indicador_tramitando,nome_casa_identificacao_materia,numero_emenda,numero_materia,sigla_casa_identificacao_materia,sigla_subtipo_materia,tipo_documento,url_texto
2020,Senado Federal,senado,140530,8062489,2020-02-05,PL 135/2020,Iniciadora,PROJETO DE LEI,Avulso inicial da matéria,Avulso inicial da matéria,application/pdf,1998,Senado Federal,Plenário do Senado Federal,SF,PLEN,Sim,Senado Federal,NA,00135,SF,PL,PDF,http://legis.senado.leg.br/sdleg-getter/documento?dm=8062489
2020,Senador Jorge Kajuru (CIDADANIA/GO),senado,140530,8062243,2020-02-05,PL 135/2020,Iniciadora,PROJETO DE LEI,PL 135/2020,Projeto de Lei Ordinária,application/pdf,1998,Senado Federal,Plenário do Senado Federal,SF,PLEN,Sim,Senado Federal,NA,00135,SF,PL,PDF,http://legis.senado.leg.br/sdleg-getter/documento?dm=8062243
2019,Senado Federal,senado,135332,7918999,2019-02-19,PL 875/2019,Iniciadora,PROJETO DE LEI,Avulso inicial da matéria,Avulso inicial da matéria,application/pdf,1998,Senado Federal,Plenário do Senado Federal,SF,PLEN,Sim,Senado Federal,NA,00875,SF,PL,PDF,http://legis.senado.leg.br/sdleg-getter/documento?dm=7918999
2019,Senador Telmário Mota (PROS/RR),senado,135332,7918755,2019-02-19,PL 875/2019,Iniciadora,PROJETO DE LEI,PL 875/2019 (Casa iniciadora-SF),Projeto de Lei Ordinária,application/pdf,NA,NA,NA,NA,NA,Sim,Senado Federal,NA,00875,SF,PL,PDF,http://legis.senado.leg.br/sdleg-getter/documento?dm=7918755
2019,Presidente do Senado Federal: Senador Antonio Anastasia (PSDB/MG),senado,135332,7934501,2019-03-27,PL 875/2019,Iniciadora,PROJETO DE LEI,Ofício,Ofício,application/pdf,50,Senado Federal,Comissão de Meio Ambiente,SF,CMA,Sim,Senado Federal,NA,00875,SF,PL,PDF,http://legis.senado.leg.br/sdleg-getter/documento?dm=7934501
2019,Senador Jayme Campos (DEM/MT),senado,135332,7933781,2019-03-27,PL 875/2019,Iniciadora,PROJETO DE LEI,RQS 209/2019,Requerimento,application/pdf,1998,Senado Federal,Plenário do Senado Federal,SF,PLEN,Sim,Senado Federal,NA,00875,SF,PL,PDF,http://legis.senado.leg.br/sdleg-getter/documento?dm=7933781
2019,Senado Federal,senado,135332,7934872,2019-03-28,PL 875/2019,Iniciadora,PROJETO DE LEI,Avulso de requerimento,Avulso de requerimento,application/pdf,1998,Senado Federal,Plenário do Senado Federal,SF,PLEN,Sim,Senado Federal,NA,00875,SF,PL,PDF,http://legis.senado.leg.br/sdleg-getter/documento?dm=7934872
2019,Comissão Diretora do Senado Federal,senado,135332,8096090,2020-04-15,PL 875/2019,Iniciadora,PROJETO DE LEI,Decisão de Comissão,Decisão de Comissão,application/pdf,2015,Senado Federal,Comissão Diretora do Senado Federal,SF,CDIR,Sim,Senado Federal,NA,00875,SF,PL,PDF,http://legis.senado.leg.br/sdleg-getter/documento?dm=8096090
2019,Senado Federal,senado,135609,7925672,2019-03-12,PEC 13/2019,Iniciadora,PROPOSTA DE EMENDA À CONSTITUIÇÃO,Avulso inicial da matéria,Avulso inicial da matéria,application/pdf,1998,Senado Federal,Plenário do Senado Federal,SF,PLEN,Sim,Senado Federal,NA,00013,SF,PEC,PDF,http://legis.senado.leg.br/sdleg-getter/documento?dm=7925672
2019,"Senador Plínio Valério (PSDB/AM), Senador Alvaro Dias (PODE/PR), Senador Angelo Coronel (PSD/BA), Senador Antonio Anastasia (PSDB/MG), Senador Arolde de Oliveira (PSD/RJ), Senador Cid Gomes (PDT/CE), Senador Ciro Nogueira (PP/PI), Senador Eduardo Braga (MDB/AM), Senador Eduardo Girão (PODE/CE), Senadora Eliziane Gama (PPS/MA), Senador Elmano Férrer (PODE/PI), Senador Esperidião Amin (PP/SC), Senador Fernando Bezerra Coelho (MDB/PE), Senador Izalci Lucas (PSDB/DF), Senador Jorge Kajuru (PSB/GO), Senador Lasier Martins (PODE/RS), Senadora Leila Barros (PSB/DF), Senador Marcos do Val (PPS/ES), Senador Omar Aziz (PSD/AM), Senador Reguffe (S/Partido/DF), Senador Rodrigo Cunha (PSDB/AL), Senador Rodrigo Pacheco (DEM/MG), Senadora Selma Arruda (PSL/MT), Senador Styvenson Valentim (PODE/RN), Senador Telmário Mota (PROS/RR), Senador Veneziano Vital do Rêgo (PSB/PB), Senadora Zenaide Maia (PROS/RN), Senador Fabiano Contarato (REDE/ES)",senado,135609,7924697,2019-03-12,PEC 13/2019,Iniciadora,PROPOSTA DE EMENDA À CONSTITUIÇÃO,PEC 13/2019 (Casa iniciadora-SF),Proposta de Emenda à Constituição,application/pdf,NA,NA,NA,NA,NA,Sim,Senado Federal,NA,00013,SF,PEC,PDF,http://legis.senado.leg.br/sdleg-getter/documento?dm=7924697
