proposicao,id_camara,id_senado,apelido,tema,prioridade,advocacy_link,keywords,tipo_agenda,explicacao_projeto
PDL 43/2019,2193076,,,Agropecuária,,,,,
PDL 114/2019,2197956,,,Meio Ambiente,,,,,
PDL 130/2019,2198142,,,Meio Ambiente,,,,,
PDL 133/2019,2198168,,,Meio Ambiente,,,,,
PDL 124/2019,2198087,,,Meio Ambiente,,,,,
PDL 117/2019,2197974,,,Meio Ambiente,,,,,
PDL 137/2019,2198338,,,Meio Ambiente,,,,,
PDL 281/2019,2203903,,,Meio Ambiente,,,,,
PDL 348/2019,2204041,,,Meio Ambiente,,,,,
PDL 294/2019,2204564,,,Meio Ambiente,,,,,
PDL 345/2019,2205541,,,Meio Ambiente,,,,,
PDL 341/2019,2205479,,,Meio Ambiente,,,,,
PDL 342/2019,2205373,,,Meio Ambiente,,,,,
PDL 340/2019,2205388,,,Meio Ambiente,,,,,
PDL 362/2019,2205833,,,Meio Ambiente,,,,,
PDL 353/2019,2205754,,,Meio Ambiente,,,,,
PDL 378/2019,2206105,,,Meio Ambiente,,,,,
PDL 616/2019,2219656,,,Agropecuária,,,,,
PDL 641/2019,2221765,,,Meio Ambiente,,,,,
PDL 686/2019,2228840,,,Agropecuária,,,,,
PDL 684/2019,2228776,,,Agropecuária,,,,,
PDL 691/2019,2229137,,,Agropecuária,,,,,
PDL 695/2019,2229475,,,Agropecuária,,,,,
PDL 707/2019,2230192,,,Agropecuária,,,,,
PDL 710/2019,2230633,,,Meio Ambiente,,,,,
PDL 719/2019,2231711,,,Amazônia,,,,,
PDL 721/2019,2231771,,,Meio Ambiente,,,,,
PDL 744/2019,2233449,,,Meio Ambiente,,,,,
PDL 760/2019,2234294,,,Meio Ambiente,,,,,
PDL 32/2020,2236840,,,Meio Ambiente,,,,,
PDL 28/2020,2236761,,,Meio Ambiente,,,,,
PDL 33/2020,2236893,,,Meio Ambiente,,,,,
PDL 41/2020,2236958,,,Meio Ambiente,,,,,
PDL 39/2020,2236932,,,Meio Ambiente,,,,,
PDL 42/2020,2236959,,,Meio Ambiente,,,,,
PDL 34/2020,2236896,,,Meio Ambiente,,,,,
PDL 44/2020,2237177,,,Meio Ambiente,,,,,
PDL 48/2020,2237205,,,Amazônia,,,,,
PDL 46/2020,2237192,,,Meio Ambiente,,,,,
PDL 51/2020,2237358,,,Meio Ambiente,,,,,
PDL 57/2020,2237764,,,Agropecuária,,,,,
PDL 58/2020,2237766,,,Meio Ambiente,,,,,
PDL 61/2020,2237825,,,Amazônia,,,,,
PDL 65/2020,2238163,,,Agropecuária,,,,,
PDL 71/2020,2238417,,,Agropecuária,,,,,
PDL 81/2020,2238675,,,Meio Ambiente,,,,,
PDL 92/2020,2241699,,,Indígenas,,,,,
PDL 155/2020,2249957,,,Meio Ambiente,,,,,
PDL 166/2020,2250646,,,Indígenas,,,,,
PDL 171/2020,2250702,,,Indígenas,,,,,
PDL 206/2020,2252113,,,Indígenas,,,,,
PDL 202/2020,2252052,,,Mineração,,,,,
PDL 208/2020,2252159,,,Indígenas,,,,,
PDL 225/2020,2252799,,,Meio Ambiente,,,,,
PDL 220/2020,2252619,,,Meio Ambiente,,,,,
PDL 228/2020,2252883,,,Meio Ambiente,,,,,
PDL 235/2020,2253313,,,Meio Ambiente,,,,,
PDL 248/2020,2254013,,,Meio Ambiente,,,,,
PDL 247/2020,2254012,,,Indígenas,,,,,
PDL 356/2020,2259427,,,Meio Ambiente,,,,,
PDL 359/2020,2259673,,,Meio Ambiente,,,,,
PDL 360/2020,2259680,,,Meio Ambiente,,,,,
PDL 361/2020,2259684,,,Mineração,,,,,
PDL 364/2020,2259776,,,Meio Ambiente,,,,,
PDL 363/2020,2259770,,,Meio Ambiente,,,,,
PDL 366/2020,2259826,,,Meio Ambiente,,,,,
PDL 369/2020,2260412,,,Meio Ambiente,,,,,
PDL 370/2020,2260423,,,Meio Ambiente,,,,,
PDL 373/2020,2260511,,,Meio Ambiente,,,,,
PDL 382/2020,2261195,,,Mineração,,,,,
PDL 391/2020,2262079,,,Agropecuária,,,,,
PDL 398/2020,2262788,,,Mineração,,,,,
PDL 408/2020,2263378,,,Mineração,,,,,
PDL 417/2020,2263463,,,Meio Ambiente,,,,,
PDL 414/2020,2263448,,,Meio Ambiente,,,,,
PDL 415/2020,2263453,,,Meio Ambiente,,,,,
PDL 416/2020,2263461,,,Meio Ambiente,,,,,
PDL 419/2020,2263588,,,Mineração,,,,,
PDL 420/2020,2263589,,,Meio Ambiente,,,,,
PDL 421/2020,2263619,,,Meio Ambiente,,,,,
PDL 423/2020,2263650,,,Mineração/Indígena,,,,,
PDL 432/2020,2263735,,,Meio Ambiente,,,,,
PDL 439/2020,2263777,,,Meio Ambiente,,,,,
PDL 443/2020,2264071,,,Agropecuária,,,,,
PDL 444/2020,2264202,,,Agropecuária,,,,,
PDL 446/2020,2264242,,,Agropecuária,,,,,
PDL 450/2020,2264352,,,Agropecuária,,,,,
PDL 474/2020,2265025,,,Outros,,,,,
PDL 488/2020,2265572,,,Agropecuária,,,,,
PDL 493/2020,2265667,,,Agropecuária,,,,,
PDL 519/2020,2266103,,,Agropecuária,,,,,
PDL 520/2020,2266108,,,Meio Ambiente,,,,,
PDL 528/2020,2266316,,,Meio Ambiente,,,,,
PDL 526/2020,2266284,,,Meio Ambiente,,,,,
PDL 229/2019,2200572,,,Meio Ambiente,,,,,
PDL 260/2019,2202983,,,Meio Ambiente,,,,,
PDL 452/2020,,145213,,Meio Ambiente,,,,,
