Ambientalistmo orienta SIM/NÃO/LIBERADO,id_proposicao,id_votacao,nome_proposicao,ementa_proposicao,obj_votacao,votacao_secreta,resumo,tema,cod_sessao,hora,data,data_apresentacao_proposicao,autor,uri_tramitacao
LIBERADO,135251,5942,MSF 6/2019,"Submete à apreciação do Senado Federal, de conformidade com o art. 52, inciso III, alínea ""f"", da Constituição Federal, combinado com o art. 6º da Lei nº 6.385, de 7 de dezembro de 1976, com redação dada pelo art. 1º, da Lei 10.411, de 26 de fevereiro de 2002, o nome da Senhora FLÁVIA MARTINS SANT´ANNA PERLINGEIRO para exercer o cargo de Diretora da Comissão de Valores Mobiliários – CVM.","Submete à apreciação do Senado Federal, de conformidade com o art. 52, inciso III, alínea ""f"", da Constituição Federal, combinado com o art. 6º da Lei nº 6.385, de 7 de dezembro de 1976, com redação dada pelo art. 1º, da Lei 10.411, de 26 de fevereiro de 2002, o nome da Senhora FLÁVIA MARTINS SANT´ANNA PERLINGEIRO para exercer o cargo de Diretora da Comissão de Valores Mobiliários ? CVM.",1,https://www25.senado.leg.br:443/web/atividade/materias/-/materia/135251/votacoes#votacao_5942,Nao especificado,,,2019-02-26,2019-02-14,Presidência da República,https://www25.senado.leg.br/web/atividade/materias/-/materia/135251
LIBERADO,135087,5943,MSF 2/2019,"Submete à apreciação do Senado Federal, nos termos do art. 84, inciso XIV, combinado com o art. 52, inciso III, alínea d, da Constituição Federal, o nome do Senhor ROBERTO DE OLIVEIRA CAMPOS NETO, para exercer o cargo de Presidente do Banco Central do Brasil.","Submete à apreciação do Senado Federal, nos termos do art. 84, inciso XIV, combinado com o art. 52, inciso III, alínea d, da Constituição Federal, o nome do Senhor ROBERTO DE OLIVEIRA CAMPOS NETO, para exercer o cargo de Presidente do Banco Central do Brasil.",1,https://www25.senado.leg.br:443/web/atividade/materias/-/materia/135087/votacoes#votacao_5943,Nao especificado,,,2019-02-26,2019-01-31,Presidência da República,https://www25.senado.leg.br/web/atividade/materias/-/materia/135087
LIBERADO,135250,5944,MSF 5/2019,"Submete à consideração do Senado Federal, nos termos do o art. 84, inciso XIV, combinado com o art. 52, inciso III, alínea ""d"", da Constituição, o nome do Senhor BRUNO SERRA FERNANDES, para exercer o cargo de Diretor do Banco Central do Brasil.","Submete à consideração do Senado Federal, nos termos do o art. 84, inciso XIV, combinado com o art. 52, inciso III, alínea ""d"", da Constituição, o nome do Senhor BRUNO SERRA FERNANDES, para exercer o cargo de Diretor do Banco Central do Brasil.",1,https://www25.senado.leg.br:443/web/atividade/materias/-/materia/135250/votacoes#votacao_5944,Nao especificado,,,2019-02-26,2019-02-14,Presidência da República,https://www25.senado.leg.br/web/atividade/materias/-/materia/135250
LIBERADO,135252,5945,MSF 7/2019,"Submete à consideração do Senado Federal, nos termos do o art. 84, inciso XIV, combinado com o art. 52, inciso III, alínea ""d"", da Constituição, o nome do Senhor JOÃO MANOEL PINHO DE MELLO, para exercer o cargo de Diretor do Banco Central do Brasil.","Submete à consideração do Senado Federal, nos termos do o art. 84, inciso XIV, combinado com o art. 52, inciso III, alínea ""d"", da Constituição, o nome do Senhor JOÃO MANOEL PINHO DE MELLO, para exercer o cargo de Diretor do Banco Central do Brasil.",1,https://www25.senado.leg.br:443/web/atividade/materias/-/materia/135252/votacoes#votacao_5945,Nao especificado,,,2019-02-26,2019-02-14,Presidência da República,https://www25.senado.leg.br/web/atividade/materias/-/materia/135252
LIBERADO,135088,5950,MSF 3/2019,"Submete à apreciação do Senado Federal, de conformidade com o art. 52, inciso IV, da Constituição, e com o art. 39, combinado com o art. 46 da Lei nº 11.440, de 2006, o nome do Senhor OLYNTHO VIEIRA, Ministro de Segunda Classe da Carreira de Diplomata do Ministério das Relações Exteriores, para exercer o cargo de Embaixador do Brasil na República Islâmica do Paquistão e cumulativamente  junto à República Islâmica do Afeganistão  e  à República do Tajiquistão.","Submete à apreciação do Senado Federal, de conformidade com o art. 52, inciso IV, da Constituição, e com o art. 39, combinado com o art. 46 da Lei nº 11.440, de 2006, o nome do Senhor OLYNTHO VIEIRA, Ministro de Segunda Classe da Carreira de Diplomata do Ministério das Relações Exteriores, para exercer o cargo de Embaixador do Brasil na República Islâmica do Paquistão e cumulativamente junto à República Islâmica do Afeganistão e à República do Tajiquistão.",1,https://www25.senado.leg.br:443/web/atividade/materias/-/materia/135088/votacoes#votacao_5950,Nao especificado,,,2019-03-26,2018-12-26,Presidência da República,https://www25.senado.leg.br/web/atividade/materias/-/materia/135088
LIBERADO,136357,5963,MSF 12/2019,"Submete à consideração do Senado Federal, nos termos do art. 52, inciso III, alínea ""f"", da Constituição, combinado com o art. 53 da Lei nº 10.233, de 2001, a escolha do Senhor DAVI FERREIRA GOMES BARRETO, para exercer o cargo de Diretor da Agência Nacional de Transportes Terrestres - ANTT.","Mensagem nº 12, de 2019 - Davi Ferreira Gomes Barreto (ANTT)",1,https://www25.senado.leg.br:443/web/atividade/materias/-/materia/136357/votacoes#votacao_5963,Nao especificado,,,2019-05-29,2019-03-18,Presidência da República,https://www25.senado.leg.br/web/atividade/materias/-/materia/136357
LIBERADO,136708,5966,MSF 17/2019,"Submete à apreciação do Senado Federal, de conformidade com o art. 52, inciso IV, da Constituição, e com os arts. 39 e 41 da Lei nº 11.440, de 2006, a escolha do  Senhor HELIO VITOR RAMOS FILHO, Ministro de Primeira Classe da Carreira de Diplomata do Ministério das Relações Exteriores, para exercer o cargo de Embaixador do Brasil na República Italiana e, cumulativamente, junto à República de San Marino e à República de Malta.","Mensagem nº 17, de 2019 - Helio Vitor Ramos Filho (Itália, San Marino e Malta)",1,https://www25.senado.leg.br:443/web/atividade/materias/-/materia/136708/votacoes#votacao_5966,Nao especificado,,,2019-06-04,2019-05-13,Presidência da República,https://www25.senado.leg.br/web/atividade/materias/-/materia/136708
LIBERADO,136635,5971,PDL 233/2019,"Susta o Decreto nº 9.785, de 07 de Maio de 2019, que regulamenta a Lei nº 10.826, de 22 de dezembro de 2003, para dispor sobre a aquisição, o cadastro, o registro, a posse, o porte e a comercialização de armas de fogo e de munição e sobre o Sistema Nacional de Armas e o Sistema Nacional de Gerenciamento Militar de Armas.","Projeto de Decreto Legislativo nº 233, de 2019",0,https://www25.senado.leg.br:443/web/atividade/materias/-/materia/136635/votacoes#votacao_5971,Nao especificado,,,2019-06-18,2019-05-08,Randolfe Rodrigues REDE / AP,https://www25.senado.leg.br/web/atividade/materias/-/materia/136635
LIBERADO,136706,5972,MSF 15/2019,"Submete à apreciação do Senado Federal, de conformidade com o art. 52, inciso IV, da Constituição, e com os arts. 39 e 41 da Lei nº 11.440, de 2006, a escolha do Senhor PEDRO FERNANDO BRÊTAS BASTOS, para exercer o cargo de Representante Permanente do Brasil junto à Comunidade dos Países de Língua Portuguesa.","Mensagem nº 15, de 2019 - Pedro Fernando Brêtas Bastos (CPLP)",1,https://www25.senado.leg.br:443/web/atividade/materias/-/materia/136706/votacoes#votacao_5972,Nao especificado,,,2019-06-18,2019-04-17,Presidência da República,https://www25.senado.leg.br/web/atividade/materias/-/materia/136706
LIBERADO,136707,5973,MSF 16/2019,"Submete à apreciação do Senado Federal, de conformidade com o art. 52, inciso IV, da Constituição, e com os arts. 39 e 41 da Lei nº 11.440, de 2006, a escolha do Senhor HENRIQUE DA SILVEIRA SARDINHA PINTO, Ministro de Primeira Classe da Carreira de Diplomata do Ministério das Relações Exteriores, para exercer o cargo de Embaixador do Brasil junto à Santa Sé e, cumulativamente, junto à Ordem Soberana e Militar de Malta.","Mensagem nº 16/2019 - Henrique da Silveira S. Pinto (Santa Sé, e Ordem Soberana e Militar de Malta)",1,https://www25.senado.leg.br:443/web/atividade/materias/-/materia/136707/votacoes#votacao_5973,Nao especificado,,,2019-06-18,2019-05-02,Presidência da República,https://www25.senado.leg.br/web/atividade/materias/-/materia/136707
