id_entidade,id_entidade_parlametria,casa,nome,sexo,partido,uf,situacao,em_exercicio,is_parlamentar,governismo,assinadas,autorias_ponderadas
74646,174646,camara,Aécio Neves,M,PSDB,MG,Titular,1,1,3.689721140886139,0,0
73888,173888,camara,Airton Dipp,M,PDT,RS,Titular,1,1,NA,0,0
74471,174471,camara,André De Paula,M,PSD,PE,Titular,1,1,4.946945601449057,0,0
73433,173433,camara,Arlindo Chinaglia,M,PT,SP,Titular,1,1,-6.05420886523663,1,0.019230769230769232
74090,174090,camara,Átila Lins,M,PP,AM,Titular,1,1,5.355085658429186,0,0
74459,174459,camara,Átila Lira,M,PP,PI,Titular,1,1,5.609995830623099,0,0
73441,173441,camara,Celso Russomanno,M,REPUBLICANOS,SP,Titular,1,1,4.751844380872141,0,0
74537,174537,camara,Claudio Cajado,M,PP,BA,Titular,1,1,6.21678153424352,0,0
74467,174467,camara,Damião Feliciano,M,PDT,PB,Titular,1,1,-0.5565145183592097,0,0
74655,174655,camara,Eduardo Barbosa,M,PSDB,MG,Titular,1,1,3.2079448909578296,0,0
74075,174075,camara,Elcione Barbalho,F,MDB,PA,Titular,1,1,5.676960946844874,0,0
73470,173470,camara,Eni Voltolini,M,PRB,SC,Titular,1,1,NA,0,0
73896,173896,camara,Fetter Junior,M,PPB,RS,Titular,1,1,NA,0,0
74199,174199,camara,Francisco Coelho,M,PFL,MA,Titular,1,1,NA,0,0
74200,174200,camara,Gastão Vieira,M,PROS,MA,Suplente,1,1,2.4881138057824987,0,0
74419,174419,camara,Gonzaga Patriota,M,PSB,PE,Titular,1,1,-1.6679594743152109,2,0.08448275862068966
73460,173460,camara,Gustavo Fruet,M,PDT,PR,Titular,1,1,0.07625703952463425,0,0
73482,173482,camara,Henrique Fontana,M,PT,RS,Titular,1,1,-4.478269851388127,1,0.019230769230769232
73772,173772,camara,Hermes Parcianello,M,MDB,PR,Titular,1,1,2.986234448431988,0,0
73531,173531,camara,Ivan Valente,M,PSOL,SP,Titular,1,1,-8.758899045135427,9,2.736111111111111
73532,173532,camara,Jair Meneguelli,M,PT,SP,Titular,1,1,NA,0,0
74848,174848,camara,Jandira Feghali,F,PCdoB,RJ,Titular,1,1,-1.574687625853926,5,3.356060606060606
74079,174079,camara,José Priante,M,MDB,PA,Titular,1,1,4.509976580656655,0,0
74554,174554,camara,José Rocha,M,PL,BA,Titular,1,1,6.346334138838198,0,0
73586,173586,camara,Júlio Delgado,M,PSB,MG,Titular,1,1,-0.6969136532060869,3,0.13711433756805808
74585,174585,camara,Lincoln Portela,M,PL,MG,Titular,1,1,3.487783963805903,0,0
74478,174478,camara,Luciano Bivar,M,PSL,PE,Titular,1,1,4.46442427692023,0,0
74784,174784,camara,Luiza Erundina,F,PSOL,SP,Titular,1,1,-2.5968772643222104,8,0.7705938697318008
74749,174749,camara,Mauro Lopes,M,MDB,MG,Titular,1,1,4.948836625751987,0,0
74352,174352,camara,Nilson Pinto,M,PSDB,PA,Titular,1,1,3.7570211190977822,0,0
73692,173692,camara,Osmar Terra,M,MDB,RS,Titular,1,1,7.181519957110925,0,0
